,id,original_title,popularity,vote_average,vote_count
378,10386,The Iron Giant,49.966,7.929,5146
379,8290,La Grande Vadrouille,26.564,7.929,1227
380,501929,The Mitchells vs. the Machines,38.95,7.928,2635
381,9323,GHOST IN THE SHELL,36.592,7.928,3065
382,458302,Rémi sans famille,19.386,7.927,392
383,31411,The Cameraman,13.114,7.9,316
384,30017,کلوزآپ ، نمای نزدیک,11.813,7.933,315
385,10404,大红灯笼高高挂,20.462,7.927,643
386,85,Raiders of the Lost Ark,60.489,7.927,11611
387,81,風の谷のナウシカ,57.865,7.928,3225
388,785084,The Whale,82.583,7.927,3105
389,10242,What Ever Happened to Baby Jane?,16.756,7.9,950
390,615453,哪吒之魔童降世,20.164,7.924,367
391,522402,Finch,50.774,7.924,3127
392,360814,दंगल,25.044,7.924,877
393,455714,ฉลาดเกมส์โกง,15.386,7.923,726
394,829,Chinatown,42.031,7.922,3486
395,491480,The Boy Who Harnessed the Wind,28.121,7.9,1538
396,150540,Inside Out,255.826,7.921,19674
397,10997,霸王别姬,22.861,7.918,506
398,404378,A Street Cat Named Bob,25.068,7.919,1309
399,610150,ドラゴンボール超 スーパーヒーロー,80.16,7.917,2584
400,296096,Me Before You,148.933,7.917,11527
401,17295,La battaglia di Algeri,13.265,7.924,668
402,671,Harry Potter and the Philosopher's Stone,161.897,7.916,25632
403,698948,Thirteen Lives,30.921,7.915,1076
404,334533,Captain Fantastic,34.042,7.915,6064
405,183011,Justice League: The Flashpoint Paradox,28.972,7.915,1710
406,10674,Mulan,87.755,7.915,9002
407,1646,Freedom Writers,25.233,7.915,2037
408,33,Unforgiven,38.441,7.915,4015
409,20271,Divorzio all'italiana,15.099,7.919,391
410,122906,About Time,46.977,7.911,7851
411,10728,Faust – Eine deutsche Volkssage,9.623,7.911,310
412,949,Heat,57.005,7.911,6645
413,223,Rebecca,23.705,7.912,1606
414,47796,Mamma Roma,15.548,7.91,378
415,31442,Иваново детство,12.986,7.91,648
416,2011,Persepolis,21.073,7.9,1783
417,438695,Sing 2,117.018,7.907,3980
418,7857,Amarcord,23.229,7.908,1021
419,507089,Five Nights at Freddy's,1042.832,7.903,2422
420,316029,The Greatest Showman,43.159,7.905,8906
421,118340,Guardians of the Galaxy,33.239,7.906,26823
422,194,Le Fabuleux Destin d'Amélie Poulain,42.773,7.905,10848
423,667520,泣きたい私は猫をかぶる,54.54,7.904,1263
424,522212,Just Mercy,25.946,7.904,2061
